

---------------------------------------------------

Inference for Stan model: anon_model_f0a4b0a480636fcaa2be8ca6b94a0f70.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

               mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
sigma[4]       0.35  1.7e-3   0.08   0.23    0.3   0.34   0.39   0.56   2369    1.0
sigma[5]       0.16  8.3e-4   0.04    0.1   0.13   0.15   0.18   0.25   2077    1.0
sigma[6]       0.09  6.0e-4   0.03   0.06   0.07   0.09   0.11   0.15   1866    1.0
sigma[7]       0.13  8.4e-4   0.03   0.08    0.1   0.12   0.14   0.21   1643    1.0
sigma[8]       0.44  2.5e-3   0.11   0.28   0.37   0.43   0.51    0.7   1900    1.0
sigma[9]       0.73  3.4e-3   0.18   0.48   0.61    0.7   0.82   1.16   2684    1.0
sigma[10]      0.35  1.8e-3   0.09   0.23   0.29   0.34    0.4   0.56   2362    1.0
sigma[11]      1.15  5.9e-3    0.3   0.73   0.94   1.09   1.29   1.88   2610    1.0
sigma[12]      0.17  1.1e-3   0.04   0.11   0.14   0.16   0.19   0.28   1523   1.01
sigma[13]      0.56  2.7e-3   0.14   0.37   0.47   0.54   0.63   0.91   2663    1.0
sigma[14]      0.08  5.3e-4   0.02   0.05   0.06   0.08   0.09   0.14   1957    1.0
sigma[15]       0.2  9.0e-4   0.05   0.13   0.17   0.19   0.23   0.32   3017    1.0
sigma[16]      0.14  7.8e-4   0.04   0.09   0.12   0.14   0.16   0.24   2427    1.0
sigma[17]      0.51  1.8e-3   0.11   0.34   0.42   0.49   0.57   0.78   4000    1.0
sigma[18]      0.28  1.1e-3   0.07   0.19   0.23   0.27   0.32   0.45   4000    1.0
sigma[19]      0.52  3.1e-3   0.13   0.34   0.43    0.5   0.59   0.83   1757    1.0
sigma[20]      0.23  1.2e-3   0.06   0.15   0.19   0.22   0.27   0.38   2302    1.0
sigma[21]      0.16  6.5e-4   0.04    0.1   0.13   0.15   0.18   0.26   4000    1.0
sigma[22]      0.33  1.6e-3   0.08   0.22   0.28   0.32   0.38   0.53   2481    1.0
sigma[23]      0.15  8.0e-4   0.04    0.1   0.13   0.15   0.17   0.25   2616    1.0
sigma[24]      0.76  2.7e-3   0.17   0.51   0.64   0.74   0.85   1.17   4000    1.0
nu_0           0.46  5.7e-4   0.04   0.39   0.43   0.46   0.48   0.53   4000    1.0
sigma_0        4.26    0.03   1.29   2.28   3.34   4.08   4.98   7.32   2014    1.0
mu[0]         -7.88  1.2e-3   0.08  -8.03  -7.93  -7.88  -7.83  -7.72   4000    1.0
mu[1]         -7.88  1.2e-3   0.08  -8.03  -7.93  -7.88  -7.83  -7.72   4000    1.0
mu[2]         -7.88  1.2e-3   0.08  -8.03  -7.93  -7.88  -7.83  -7.72   4000    1.0
mu[3]         -7.88  1.2e-3   0.08  -8.03  -7.93  -7.88  -7.83  -7.72   4000    1.0
mu[4]         -7.88  1.2e-3   0.08  -8.03  -7.93  -7.88  -7.83  -7.72   4000    1.0
mu[5]         -7.88  1.2e-3   0.08  -8.03  -7.93  -7.88  -7.83  -7.72   4000    1.0
mu[6]         -7.88  1.2e-3   0.08  -8.03  -7.93  -7.88  -7.83  -7.72   4000    1.0
mu[7]         -7.88  1.2e-3   0.08  -8.03  -7.93  -7.88  -7.83  -7.72   4000    1.0
